# R.A., Dec., mask
330.058 -35.950 0
330.058 -35.850 0
330.058 -35.750 0
330.058 -35.650 0
330.058 -35.550 0
330.058 -35.450 1
330.058 -35.350 1
330.058 -35.250 1
330.058 -35.150 1
330.058 -35.050 1
330.058 -34.950 1
330.058 -34.850 1
330.058 -34.750 1
330.058 -34.650 1
330.058 -34.550 1
330.058 -34.450 1
330.058 -34.350 1
330.058 -34.250 1
330.058 -34.150 1
330.058 -34.050 1
330.058 -33.950 0
330.058 -33.850 0
330.058 -33.750 0
330.058 -33.650 0
330.058 -33.550 0
330.058 -33.450 0
330.058 -33.350 0
330.058 -33.250 0
330.058 -33.150 0
330.058 -33.050 0
330.058 -32.950 0
330.058 -32.850 0
330.058 -32.750 0
330.058 -32.650 0
330.058 -32.550 0
330.058 -32.450 1
330.058 -32.350 1
330.058 -32.250 1
330.058 -32.150 1
330.058 -32.050 1
330.058 -31.950 1
330.058 -31.850 1
330.058 -31.750 1
330.058 -31.650 1
330.058 -31.550 1
330.058 -31.450 1
330.058 -31.350 1
330.058 -31.250 1
330.058 -31.150 1
330.058 -31.050 1
330.058 -30.950 0
330.058 -30.850 0
330.058 -30.750 0
330.058 -30.650 0
330.058 -30.550 0
330.058 -30.450 0
330.058 -30.350 0
330.058 -30.250 0
330.058 -30.150 0
330.058 -30.050 0
330.058 -29.950 0
330.058 -29.850 0
330.058 -29.750 0
330.058 -29.650 0
330.058 -29.550 0
330.058 -29.450 1
330.058 -29.350 1
330.058 -29.250 1
330.058 -29.150 1
330.058 -29.050 1
330.058 -28.950 1
330.058 -28.850 1
330.058 -28.750 1
330.058 -28.650 1
330.058 -28.550 1
330.058 -28.450 1
330.058 -28.350 1
330.058 -28.250 1
330.058 -28.150 1
330.058 -28.050 1
330.058 -27.950 0
330.058 -27.850 0
330.058 -27.750 0
330.058 -27.650 0
330.058 -27.550 0
330.058 -27.450 0
330.058 -27.350 0
330.058 -27.250 0
330.058 -27.150 0
330.058 -27.050 0
330.058 -26.950 0
330.058 -26.850 0
330.058 -26.750 0
330.058 -26.650 0
330.058 -26.550 0
330.058 -26.450 0
330.058 -26.350 0
330.058 -26.250 0
330.058 -26.150 0
330.058 -26.050 0
330.175 -35.950 0
330.175 -35.850 0
330.175 -35.750 0
330.175 -35.650 0
330.175 -35.550 1
330.175 -35.450 1
330.175 -35.350 1
330.175 -35.250 1
330.175 -35.150 1
330.175 -35.050 1
330.175 -34.950 1
330.175 -34.850 1
330.175 -34.750 1
330.175 -34.650 1
330.175 -34.550 1
330.175 -34.450 1
330.175 -34.350 1
330.175 -34.250 1
330.175 -34.150 1
330.175 -34.050 1
330.175 -33.950 1
330.175 -33.850 0
330.175 -33.750 0
330.175 -33.650 0
330.175 -33.550 0
330.175 -33.450 0
330.175 -33.350 0
330.175 -33.250 0
330.175 -33.150 0
330.175 -33.050 0
330.175 -32.950 0
330.175 -32.850 0
330.175 -32.750 0
330.175 -32.650 0
330.175 -32.550 1
330.175 -32.450 1
330.175 -32.350 1
330.175 -32.250 1
330.175 -32.150 1
330.175 -32.050 1
330.175 -31.950 1
330.175 -31.850 1
330.175 -31.750 1
330.175 -31.650 1
330.175 -31.550 1
330.175 -31.450 1
330.175 -31.350 1
330.175 -31.250 1
330.175 -31.150 1
330.175 -31.050 1
330.175 -30.950 1
330.175 -30.850 0
330.175 -30.750 0
330.175 -30.650 0
330.175 -30.550 0
330.175 -30.450 0
330.175 -30.350 0
330.175 -30.250 0
330.175 -30.150 0
330.175 -30.050 0
330.175 -29.950 0
330.175 -29.850 0
330.175 -29.750 0
330.175 -29.650 0
330.175 -29.550 1
330.175 -29.450 1
330.175 -29.350 1
330.175 -29.250 1
330.175 -29.150 1
330.175 -29.050 1
330.175 -28.950 1
330.175 -28.850 1
330.175 -28.750 1
330.175 -28.650 1
330.175 -28.550 1
330.175 -28.450 1
330.175 -28.350 1
330.175 -28.250 1
330.175 -28.150 1
330.175 -28.050 1
330.175 -27.950 1
330.175 -27.850 0
330.175 -27.750 0
330.175 -27.650 0
330.175 -27.550 0
330.175 -27.450 0
330.175 -27.350 0
330.175 -27.250 0
330.175 -27.150 0
330.175 -27.050 0
330.175 -26.950 0
330.175 -26.850 0
330.175 -26.750 0
330.175 -26.650 0
330.175 -26.550 0
330.175 -26.450 0
330.175 -26.350 0
330.175 -26.250 0
330.175 -26.150 0
330.175 -26.050 0
330.292 -35.950 0
330.292 -35.850 0
330.292 -35.750 0
330.292 -35.650 0
330.292 -35.550 1
330.292 -35.450 1
330.292 -35.350 1
330.292 -35.250 1
330.292 -35.150 1
330.292 -35.050 1
330.292 -34.950 1
330.292 -34.850 1
330.292 -34.750 1
330.292 -34.650 1
330.292 -34.550 1
330.292 -34.450 1
330.292 -34.350 1
330.292 -34.250 1
330.292 -34.150 1
330.292 -34.050 1
330.292 -33.950 1
330.292 -33.850 0
330.292 -33.750 0
330.292 -33.650 0
330.292 -33.550 0
330.292 -33.450 0
330.292 -33.350 0
330.292 -33.250 0
330.292 -33.150 0
330.292 -33.050 0
330.292 -32.950 0
330.292 -32.850 0
330.292 -32.750 0
330.292 -32.650 0
330.292 -32.550 1
330.292 -32.450 1
330.292 -32.350 1
330.292 -32.250 1
330.292 -32.150 1
330.292 -32.050 1
330.292 -31.950 1
330.292 -31.850 1
330.292 -31.750 1
330.292 -31.650 1
330.292 -31.550 1
330.292 -31.450 1
330.292 -31.350 1
330.292 -31.250 1
330.292 -31.150 1
330.292 -31.050 1
330.292 -30.950 1
330.292 -30.850 0
330.292 -30.750 0
330.292 -30.650 0
330.292 -30.550 0
330.292 -30.450 0
330.292 -30.350 0
330.292 -30.250 0
330.292 -30.150 0
330.292 -30.050 0
330.292 -29.950 0
330.292 -29.850 0
330.292 -29.750 0
330.292 -29.650 0
330.292 -29.550 1
330.292 -29.450 1
330.292 -29.350 1
330.292 -29.250 1
330.292 -29.150 1
330.292 -29.050 1
330.292 -28.950 1
330.292 -28.850 1
330.292 -28.750 1
330.292 -28.650 1
330.292 -28.550 1
330.292 -28.450 1
330.292 -28.350 1
330.292 -28.250 1
330.292 -28.150 1
330.292 -28.050 1
330.292 -27.950 1
330.292 -27.850 0
330.292 -27.750 0
330.292 -27.650 0
330.292 -27.550 0
330.292 -27.450 0
330.292 -27.350 0
330.292 -27.250 0
330.292 -27.150 0
330.292 -27.050 0
330.292 -26.950 0
330.292 -26.850 0
330.292 -26.750 0
330.292 -26.650 0
330.292 -26.550 0
330.292 -26.450 0
330.292 -26.350 0
330.292 -26.250 0
330.292 -26.150 0
330.292 -26.050 0
330.408 -35.950 0
330.408 -35.850 0
330.408 -35.750 0
330.408 -35.650 1
330.408 -35.550 1
330.408 -35.450 1
330.408 -35.350 1
330.408 -35.250 1
330.408 -35.150 1
330.408 -35.050 1
330.408 -34.950 1
330.408 -34.850 1
330.408 -34.750 1
330.408 -34.650 1
330.408 -34.550 1
330.408 -34.450 1
330.408 -34.350 1
330.408 -34.250 1
330.408 -34.150 1
330.408 -34.050 1
330.408 -33.950 1
