#Pre-reconstruction configuration-space 3-wedges measurements of the DR12 combined sample from Sanchez et al. (2016)
# for 0.5 < z < 0.75
#   s/(Mpc/h)          xi_3w,1       sigma xi_3w,1         xi_3w,2        sigma xi_3w,2        xi_3w,3        sigma xi_3w,3 
 0.250000000E+01   0.483661650E+01   0.312807045E-01   0.486207809E+01   0.331979951E-01   0.665136941E+01   0.449983983E-01
 0.750000000E+01   0.167575847E+01   0.119828169E-01   0.154853101E+01   0.110201677E-01   0.160728156E+01   0.125103071E-01
 0.125000000E+02   0.771988373E+00   0.775892352E-02   0.674269801E+00   0.643639006E-02   0.549931937E+00   0.665758514E-02
 0.175000000E+02   0.424065716E+00   0.563907313E-02   0.358381901E+00   0.466648289E-02   0.259557573E+00   0.478975766E-02
 0.225000000E+02   0.259922552E+00   0.447027355E-02   0.215548140E+00   0.372760772E-02   0.140266281E+00   0.391309451E-02
 0.275000000E+02   0.167703487E+00   0.376968026E-02   0.139746075E+00   0.314253437E-02   0.808301172E-01   0.329109284E-02
 0.325000000E+02   0.116683612E+00   0.323207384E-02   0.917416046E-01   0.278063378E-02   0.479896648E-01   0.299912159E-02
 0.375000000E+02   0.818163007E-01   0.292863159E-02   0.628086254E-01   0.250653103E-02   0.283668412E-01   0.270588234E-02
 0.425000000E+02   0.598397228E-01   0.258684634E-02   0.445175066E-01   0.225543475E-02   0.164640124E-01   0.253916816E-02
 0.475000000E+02   0.431098019E-01   0.237010322E-02   0.326654549E-01   0.208649307E-02   0.853881719E-02   0.235504858E-02
 0.525000000E+02   0.318672798E-01   0.221825108E-02   0.237736287E-01   0.192243278E-02   0.259584103E-02   0.220129905E-02
 0.575000000E+02   0.242060952E-01   0.206315210E-02   0.182772679E-01   0.178527254E-02  -0.443264421E-03   0.203690027E-02
 0.625000000E+02   0.211144928E-01   0.193099940E-02   0.133998123E-01   0.167326275E-02  -0.144083445E-02   0.192920208E-02
 0.675000000E+02   0.165717776E-01   0.183300631E-02   0.900824199E-02   0.158544197E-02  -0.407851803E-02   0.185288283E-02
 0.725000000E+02   0.123270088E-01   0.173219873E-02   0.640550911E-02   0.149271828E-02  -0.453568986E-02   0.177166975E-02
 0.775000000E+02   0.109340623E-01   0.164878498E-02   0.427228086E-02   0.144299094E-02  -0.399745805E-02   0.170694853E-02
 0.825000000E+02   0.801079860E-02   0.155046170E-02   0.468947770E-02   0.137083023E-02  -0.142310403E-02   0.166060979E-02
 0.875000000E+02   0.748811867E-02   0.147883544E-02   0.430568596E-02   0.131562982E-02  -0.767170004E-03   0.161685214E-02
 0.925000000E+02   0.685725855E-02   0.142063286E-02   0.492781255E-02   0.125673188E-02  -0.396475370E-03   0.155663639E-02
 0.975000000E+02   0.755994887E-02   0.135314349E-02   0.469546342E-02   0.122384279E-02   0.932585145E-03   0.152281234E-02
 0.102500000E+03   0.656422874E-02   0.129503435E-02   0.516259323E-02   0.117147945E-02   0.278595918E-02   0.150092804E-02
 0.107500000E+03   0.567267282E-02   0.123754071E-02   0.390020945E-02   0.114503765E-02   0.187118096E-02   0.146732171E-02
 0.112500000E+03   0.433213711E-02   0.119486862E-02   0.328511878E-02   0.109972578E-02   0.297263623E-03   0.144245733E-02
 0.117500000E+03   0.329493855E-02   0.116072918E-02   0.168332736E-02   0.107486924E-02  -0.375075301E-03   0.137772453E-02
 0.122500000E+03   0.233920745E-02   0.111690535E-02   0.115936351E-02   0.103663976E-02  -0.350886696E-03   0.132579842E-02
 0.127500000E+03   0.260862895E-02   0.108360964E-02   0.455412207E-03   0.999768006E-03  -0.336575330E-03   0.128437765E-02
 0.132500000E+03   0.259778089E-02   0.103810693E-02   0.416488741E-03   0.950381793E-03  -0.988623382E-03   0.124598252E-02
 0.137500000E+03   0.160282014E-02   0.999362463E-03   0.217836210E-03   0.923458170E-03  -0.125891734E-02   0.120881934E-02
 0.142500000E+03   0.166160576E-02   0.952578559E-03   0.361466352E-03   0.901373250E-03  -0.128402537E-02   0.118312748E-02
 0.147500000E+03   0.810101176E-03   0.946115030E-03   0.397305566E-03   0.879852984E-03  -0.160595548E-02   0.114986546E-02
 0.152500000E+03   0.385700868E-03   0.918383277E-03  -0.279438029E-03   0.866028104E-03  -0.222950031E-02   0.113276232E-02
 0.157500000E+03   0.211585812E-03   0.889386771E-03   0.383903702E-03   0.853333799E-03  -0.144722606E-02   0.112270837E-02
