#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8305e-01  -9.5962e-01   5.9305e-04  -9.2212e-04  -1.8644e-20   5.7600e-04   4.3285e-04   6.0104e+04   9.5277e+06   4.8415e+04
  3.9127e-01   3.9130e-01  -9.3830e-01   7.1357e-04   4.4687e-04  -6.4991e-21  -2.2380e-04   6.0036e-04   8.8837e+04   1.9957e+07   1.0115e+05
  3.9970e-01   3.9972e-01  -9.1702e-01   5.2470e-04   3.8864e-04  -8.3007e-21   2.4027e-04   5.8668e-04   9.2947e+04   2.0903e+07   1.0598e+05
  4.0831e-01   4.0835e-01  -8.9565e-01  -9.2180e-05   4.4504e-05  -9.1407e-21  -8.4677e-04   5.7534e-04   9.6300e+04   2.1729e+07   1.1009e+05
  4.1711e-01   4.1715e-01  -8.7433e-01  -4.3397e-05  -2.6186e-04  -2.7757e-20   2.4069e-04   5.6532e-04   1.0032e+05   2.2510e+07   1.1430e+05
  4.2610e-01   4.2611e-01  -8.5306e-01  -5.5203e-04   1.8242e-04   2.7563e-20   3.7618e-04   5.5374e-04   1.0434e+05   2.3463e+07   1.1890e+05
  4.3529e-01   4.3534e-01  -8.3165e-01   1.1099e-04  -7.4498e-04   1.7289e-20  -4.5992e-04   5.4199e-04   1.0896e+05   2.4491e+07   1.2423e+05
  4.4467e-01   4.4470e-01  -8.1037e-01   8.5942e-05   7.9781e-05   1.7587e-20   3.1202e-04   5.3322e-04   1.1282e+05   2.5299e+07   1.2836e+05
  4.5425e-01   4.5429e-01  -7.8903e-01   7.7446e-04   8.7483e-04   1.0728e-20  -2.1022e-04   5.2190e-04   1.1760e+05   2.6408e+07   1.3412e+05
  4.6404e-01   4.6409e-01  -7.6769e-01   3.7809e-04  -2.9125e-04  -1.7967e-21  -5.0288e-05   5.1218e-04   1.2203e+05   2.7431e+07   1.3921e+05
  4.7404e-01   4.7410e-01  -7.4636e-01   2.7888e-04  -2.0265e-04   4.0827e-21   1.9119e-05   5.0042e-04   1.2815e+05   2.8729e+07   1.4579e+05
  4.8426e-01   4.8431e-01  -7.2506e-01  -6.2503e-04   1.0422e-04   4.0350e-20   2.7202e-04   4.9264e-04   1.3196e+05   2.9641e+07   1.5039e+05
  4.9470e-01   4.9473e-01  -7.0377e-01  -2.5318e-04  -5.1674e-05  -1.0073e-20   1.1577e-05   4.8242e-04   1.3775e+05   3.0918e+07   1.5683e+05
  5.0536e-01   5.0542e-01  -6.8240e-01  -9.9448e-06  -2.4767e-04   2.5019e-20  -1.9376e-04   4.7389e-04   1.4301e+05   3.2034e+07   1.6263e+05
  5.1625e-01   5.1631e-01  -6.6107e-01   5.7207e-04  -3.2092e-05   7.9543e-21   1.2994e-04   4.6400e-04   1.4912e+05   3.3414e+07   1.6957e+05
  5.2738e-01   5.2744e-01  -6.3975e-01   1.0658e-03   1.0996e-04   2.3875e-21  -2.0047e-05   4.5534e-04   1.5476e+05   3.4698e+07   1.7627e+05
  5.3874e-01   5.3881e-01  -6.1841e-01   1.1233e-03  -1.2098e-04   3.7963e-20  -7.5489e-04   4.4734e-04   1.6047e+05   3.5949e+07   1.8247e+05
  5.5035e-01   5.5041e-01  -5.9711e-01   4.0979e-04   7.2876e-04  -1.4909e-20   2.3447e-04   4.3898e-04   1.6654e+05   3.7332e+07   1.8956e+05
  5.6222e-01   5.6227e-01  -5.7580e-01  -5.5615e-05  -3.1343e-04   1.1161e-20   4.7076e-04   4.3010e-04   1.7353e+05   3.8889e+07   1.9758e+05
  5.7433e-01   5.7439e-01  -5.5447e-01  -3.4226e-05  -1.2717e-04   5.5387e-21  -4.5240e-05   4.2031e-04   1.8142e+05   4.0725e+07   2.0671e+05
  5.8671e-01   5.8676e-01  -5.3316e-01   7.1557e-05   6.1371e-05  -4.5813e-20  -3.5982e-05   4.1342e-04   1.8805e+05   4.2088e+07   2.1379e+05
  5.9936e-01   5.9939e-01  -5.1186e-01   1.8746e-04   5.4977e-05  -2.3205e-20  -1.9932e-04   4.0662e-04   1.9453e+05   4.3514e+07   2.2104e+05
  6.1227e-01   6.1235e-01  -4.9048e-01   2.5119e-05   4.7442e-05   5.0038e-21   1.8493e-04   3.9825e-04   2.0342e+05   4.5363e+07   2.3067e+05
  6.2547e-01   6.2551e-01  -4.6920e-01   5.5212e-04  -1.4060e-04   9.0353e-21   3.5140e-04   3.8908e-04   2.1202e+05   4.7521e+07   2.4121e+05
  6.3895e-01   6.3899e-01  -4.4787e-01   6.5403e-06  -3.0013e-04   3.0124e-20   2.5894e-04   3.8116e-04   2.2142e+05   4.9510e+07   2.5160e+05
  6.5272e-01   6.5278e-01  -4.2653e-01   2.2019e-04   4.5857e-04   1.6330e-20  -5.5031e-05   3.7459e-04   2.2925e+05   5.1272e+07   2.6061e+05
  6.6679e-01   6.6685e-01  -4.0521e-01   4.4182e-05  -2.0494e-04   2.2657e-20   2.7340e-04   3.6643e-04   2.3951e+05   5.3581e+07   2.7231e+05
  6.8116e-01   6.8122e-01  -3.8389e-01   3.0548e-04   1.3111e-04   3.4704e-20  -1.0387e-04   3.6103e-04   2.4712e+05   5.5196e+07   2.8059e+05
  6.9584e-01   6.9591e-01  -3.6255e-01   1.8711e-04   2.0656e-04   2.6424e-20  -6.5193e-06   3.5346e-04   2.5731e+05   5.7579e+07   2.9246e+05
